No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数_因縁係数x2.24,因縁値式,陣形補正式,最終式
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
21,忍法の絆,特化因縁,忍法,忍法,忍法,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
21,忍法の絆,特化因縁,忍法,忍法,忍法,中,腕力・器用さ・魅力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
21,忍法の絆,特化因縁,忍法,忍法,忍法,中,腕力・器用さ・魅力,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
21,忍法の絆,特化因縁,忍法,忍法,忍法,中,腕力・器用さ・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
22,暗殺術の絆,特化因縁,暗殺術,暗殺術,暗殺術,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
22,暗殺術の絆,特化因縁,暗殺術,暗殺術,暗殺術,中,腕力・器用さ・魅力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
22,暗殺術の絆,特化因縁,暗殺術,暗殺術,暗殺術,中,腕力・器用さ・魅力,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
22,暗殺術の絆,特化因縁,暗殺術,暗殺術,暗殺術,中,腕力・器用さ・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
23,忍術の絆,特化因縁,忍術,忍術,忍術,中,器用さ・知力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
24,刀鍛冶の絆,特化因縁,刀鍛冶,刀鍛冶,刀鍛冶,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
24,刀鍛冶の絆,特化因縁,刀鍛冶,刀鍛冶,刀鍛冶,中,腕力・耐久力・魅力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
24,刀鍛冶の絆,特化因縁,刀鍛冶,刀鍛冶,刀鍛冶,中,腕力・耐久力・魅力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
24,刀鍛冶の絆,特化因縁,刀鍛冶,刀鍛冶,刀鍛冶,中,腕力・耐久力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
25,鎧鍛冶の絆,特化因縁,鎧鍛冶,鎧鍛冶,鎧鍛冶,中,耐久力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
26,鉄砲鍛冶の絆,特化因縁,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
26,鉄砲鍛冶の絆,特化因縁,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,中,腕力・耐久力・器用さ,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
26,鉄砲鍛冶の絆,特化因縁,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,中,腕力・耐久力・器用さ,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
26,鉄砲鍛冶の絆,特化因縁,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,中,腕力・耐久力・器用さ,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
27,医学の絆,特化因縁,医学,医学,医学,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
27,医学の絆,特化因縁,医学,医学,医学,中,気合・知力・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
27,医学の絆,特化因縁,医学,医学,医学,中,気合・知力・魅力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
27,医学の絆,特化因縁,医学,医学,医学,中,気合・知力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
28,神通力の絆,特化因縁,神通力,神通力,神通力,中,知力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
29,修験道の絆,特化因縁,修験道,修験道,修験道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
29,修験道の絆,特化因縁,修験道,修験道,修験道,中,気合・知力・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
29,修験道の絆,特化因縁,修験道,修験道,修験道,中,気合・知力・魅力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
29,修験道の絆,特化因縁,修験道,修験道,修験道,中,気合・知力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
30,四象の絆,特化因縁,四象,四象,四象,中,腕力・知力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,気合,気合,0.003,2.24,0.00672,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,耐久力,ステータス,0.0022,2.24,0.004928,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,器用さ,ステータス,0.0022,2.24,0.004928,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,魅力,ステータス,0.0022,2.24,0.004928,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,土,ステータス,0.0022,2.24,0.004928,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,水,ステータス,0.0022,2.24,0.004928,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,火,ステータス,0.0022,2.24,0.004928,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
31,地勢の絆,特化因縁,地勢,地勢,地勢,小,気合・耐久力・器用さ・知力・魅力・四象,風,ステータス,0.0022,2.24,0.004928,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
32,殺陣の絆,特化因縁,殺陣,殺陣,殺陣,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
32,殺陣の絆,特化因縁,殺陣,殺陣,殺陣,中,腕力・器用さ・知力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
32,殺陣の絆,特化因縁,殺陣,殺陣,殺陣,中,腕力・器用さ・知力,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
32,殺陣の絆,特化因縁,殺陣,殺陣,殺陣,中,腕力・器用さ・知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,大,知力・四象,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,大,知力・四象,土,ステータス,0.0098,2.24,0.021952,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,大,知力・四象,水,ステータス,0.0098,2.24,0.021952,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,大,知力・四象,火,ステータス,0.0098,2.24,0.021952,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
33,知将の絆,固有因縁,知将,知将,知将,大,知力・四象,風,ステータス,0.0098,2.24,0.021952,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
34,忍びの絆,固有因縁,忍び,忍び,忍び,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
34,忍びの絆,固有因縁,忍び,忍び,忍び,大,腕力・器用さ,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
34,忍びの絆,固有因縁,忍び,忍び,忍び,大,腕力・器用さ,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
35,剣豪の絆,固有因縁,剣豪,剣豪,剣豪,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
35,剣豪の絆,固有因縁,剣豪,剣豪,剣豪,大,腕力・器用さ,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
35,剣豪の絆,固有因縁,剣豪,剣豪,剣豪,大,腕力・器用さ,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
36,名臣の絆,固有因縁,名臣,名臣,名臣,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
36,名臣の絆,固有因縁,名臣,名臣,名臣,大,知力・魅力,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
36,名臣の絆,固有因縁,名臣,名臣,名臣,大,知力・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
37,野心家の絆,固有因縁,野心家,野心家,野心家,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
37,野心家の絆,固有因縁,野心家,野心家,野心家,大,気合・知力,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
37,野心家の絆,固有因縁,野心家,野心家,野心家,大,気合・知力,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
38,勇将の絆,固有因縁,勇将,勇将,勇将,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
38,勇将の絆,固有因縁,勇将,勇将,勇将,大,腕力・耐久,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
38,勇将の絆,固有因縁,勇将,勇将,勇将,大,腕力・耐久,耐久力,ステータス,0.0098,2.24,0.021952,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
39,女傑の絆,固有因縁,女傑,女傑,女傑,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
39,女傑の絆,固有因縁,女傑,女傑,女傑,大,腕力・魅力,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
39,女傑の絆,固有因縁,女傑,女傑,女傑,大,腕力・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
40,内助の功の絆,固有因縁,内助の功,内助の功,内助の功,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
40,内助の功の絆,固有因縁,内助の功,内助の功,内助の功,大,知力・魅力,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
40,内助の功の絆,固有因縁,内助の功,内助の功,内助の功,大,知力・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
41,長寿の絆,固有因縁,長寿,長寿,長寿,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
41,長寿の絆,固有因縁,長寿,長寿,長寿,大,気合・耐久,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
41,長寿の絆,固有因縁,長寿,長寿,長寿,大,気合・耐久,耐久力,ステータス,0.0098,2.24,0.021952,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,大,器用さ・四象,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,大,器用さ・四象,土,ステータス,0.0098,2.24,0.021952,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,大,器用さ・四象,水,ステータス,0.0098,2.24,0.021952,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,大,器用さ・四象,火,ステータス,0.0098,2.24,0.021952,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
42,文化人の絆,固有因縁,文化人,文化人,文化人,大,器用さ・四象,風,ステータス,0.0098,2.24,0.021952,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
43,猛将の絆,固有因縁,猛将,猛将,猛将,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
43,猛将の絆,固有因縁,猛将,猛将,猛将,大,気合・腕力,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
43,猛将の絆,固有因縁,猛将,猛将,猛将,大,気合・腕力,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
44,外交官の絆,固有因縁,外交官,外交官,外交官,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
44,外交官の絆,固有因縁,外交官,外交官,外交官,大,器用さ・魅力,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
44,外交官の絆,固有因縁,外交官,外交官,外交官,大,器用さ・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,大,魅力・四象,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,大,魅力・四象,土,ステータス,0.0098,2.24,0.021952,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
