コスト,名前,職業,因子1,因子2,因子3,因子4,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,育成技能１,育成技能２,育成技能３,追加・更新,技能,詳細
6,妙玖,僧,仏門,内助の功,,,29283,15561,1205,1604,1132,2409,2118,2024,2058,1954,2068,知力上昇Lv.1,気合修練志向Lv.1,,2026/4/8,百万一心への助,敵単体に風属性術攻撃を行い、味方全体の知力・魅力を上昇させる。自陣営の士気玉を1つ追加。
7,義姫,薬師,修験道,明敏,野心家,鬼,32965,21799,1275,2177,1939,2887,3037,2545,2748,2356,2419,魅力上昇Lv.5,知力上昇Lv.3,魅力上昇率向上Lv.1,2024/7/30,鬼姫の慈愛,味方全体の生命力を回復し、物理・術耐性を上昇、生命継続減少状態を解除。味方が継続ダメージを受けた時に追加行動を行う状態を自身に付与。
7,明石全登,侍,武士道,明敏,神仏の徒,博識,37637,21747,2295,2232,2046,2229,3046,2462,2396,2294,2389,生命上昇率向上Lv.5,魅力上昇Lv.3,生命上昇Lv.1,2024/7/30,安らぎの聖域,敵全体に無属性術攻撃を行いつつ注意を引きつける。自身に物理被害変換の強結界と、術被害の一部を継続ダメージに変換する状態をつける。地勢をすべて打ち消す。
6,竹中重門,薬師,神通力,明敏,野心家,,27452,16515,1002,1448,1488,2474,2594,1506,1414,1423,1389,知力上昇Lv.1,生命上昇Lv.1,,2024/7/30,豊鑑の教え,味方全体の生命力を回復し、生命継続減少状態を解除。
7,山県昌景(泰然),侍,武芸,根性,勇将,,35774,18746,3057,1883,2244,2178,2552,2344,2404,2692,2331,腕力上昇率向上Lv.5,生命上昇Lv.3,腕力上昇Lv.1,2024/3/22,紅焔燎原,単体に近接攻撃と火属性術攻撃を行い、蓄積値を増幅して放出、対象の生命力に応じ威力増。対象に与ダメージ減少を付与。敵を倒すと追加攻撃。
7,真田信幸(泰然),神主・巫女,神通,根性,長寿,,34520,24490,2987,1633,2170,2662,3027,2280,2330,2342,2414,魅力上昇Lv.5,生命上昇Lv.3,魅力上昇率向上Lv.1,2024/3/22,真田流布陣術,任意味方二体の攻撃力・知力・魅力を上昇。物理攻撃の威力を増加する状態、火属性追加ダメージ効果、標的固定耐性を付与し標的固定を解除。
6,長野業正,侍,武士道,根性,長寿,猛将,31943,17607,1686,1537,2070,2156,2555,2041,2056,2073,1976,耐久上昇Lv.1,生命上昇Lv.1,,2026/04/08,不落の箕輪,敵全体の注意を引きつけ、自身に防御力上昇と物理生命力ダメージを気合ダメージに変換する結界を張る。
7,霧隠才蔵,忍者,忍法,宿将,忍び,,33311,19775,2909,1515,2528,2061,2711,2187,2292,2304,2322,器用上昇率向上Lv.5,腕力上昇Lv.3,器用修練志向Lv.1,2024/1/30,霧隠流火薬術,敵全体に疾風怒濤状態を増幅させた間接物理攻撃を行い、物理耐性を低下させ、以後の物理攻撃に追加被害。自身の器用さを上げる。
7,尼子経久,陰陽師,仙道,才腕,知将,,36084,21031,1592,1944,2103,2887,2932,2571,2751,2755,2773,知力上昇率向上Lv.5,生命上昇Lv.3,魅力上昇Lv.1,2023/12/1,謀聖狡知,敵単体と敵全体に無属性術攻撃を行う。敵全体の生命力に継続ダメージを与え、使用するごとに効果が上昇。敵単体に四属性の呪詛をつける。
6,木下秀長,神主・巫女,神通,才腕,知将,,28865,17893,2441,1030,2103,2587,2617,2139,2061,2179,2041,知力上昇Lv.1,腕力上昇Lv.1,,2023/12/1,賢弟の本領,任意味方二体の攻撃力・知力・魅力を上げ、武器に火属性の追加ダメージ効果を付与する。
7,井伊直虎,侍,軍学,女傑,猛将,,36576,20635,2857,2147,1676,2830,3075,1131,2070,2731,1149,魅力上昇率向上Lv.5,知力上昇Lv.3,魅力上昇Lv1,2023/10/3,炎虎之焔,敵単体に火属性術攻撃を行い被守護・援護率を低下させる。自身の標的固定耐性を上げ、自分以外の味方を標的固定し、味方全体の術耐性を上昇。
7,名古屋山三郎,傾奇者,殺陣,文化人,洒落者,,34058,22428,3037,2050,2000,2796,2948,2513,2507,2506,2513,魅力上昇率向上Lv.5,腕力上昇率向上Lv.3,魅力修練志向Lv1,2023/10/3,絢爛大演舞,最高知力の味方の力を借りて単体に近接・術攻撃。味方の知力・魅力と自身の攻撃力を上昇。気合消費減少地勢を張り、妖怪種族に追加ダメージ。
6,大祝鶴,神主・巫女,神道,女傑,洒落者,,27502,18022,2519,950,1840,2006,2648,1501,1498,1481,1516,腕力上昇Lv.1,魅力上昇Lv.1,,2023/10/3,巫女姫の神矢,敵全体に間接攻撃を行い、自身の攻撃力を上昇させる。
7,下間頼廉(籠城),鍛冶屋,鉄砲鍛冶,神仏の徒,飛道具使い,,32275,15334,3042,2174,2377,2488,1925,1049,1157,1088,1088,腕力上昇率向上,器用上昇率向上,腕力上昇,2023/9/11,奇襲射撃・縛,敵単体の結界、付与、四象地利状態を解除し対象を長時間近接攻撃不可状態にする間接物理攻撃を行う。精霊種族に追加ダメージ。
7,北条綱成(籠城),鍛冶屋,鎧鍛冶,名臣,勇将,,36940,20282,1945,2303,2234,2722,2326,2022,1309,1256,1187,耐久上昇率向上Lv.5,生命上昇Lv.3,耐久上昇Lv1,2023/9/11,地黄八幡陣,敵全体の注意を引き、四属性値を低下させる。自身の防御力を上昇させ、連続行動耐性と反射結界を付加。
6,甲斐姫,侍,武士道,名臣,女傑,,33172,15339,1086,2000,2155,2445,2602,907,844,738,856,生命上昇Lv.1,生命修練志向Lv.1,,2023/9/11,闘姫堅忍,敵全体の注意を引きつける。自身に強結界を付与し、回避力を上昇。
7,宇喜多直家,僧,密教,知将,野心家,,35859,20905,1578,2104,1560,2891,2825,2315,2309,2305,2306,知力上昇率向上Lv.5,知力上昇Lv.3,知力修練上昇Lv1,2023/8/1,獅子身中の謀,敵全体に無属性術攻撃を行い、生命減少状態と行動生命ダメージ状態にする。自身の生命力を回復し、生命継続回復状態にする。
7,細川藤孝(立役),陰陽師,仙道,外交官,文化人,長寿,35586,20726,1332,2000,1642,2823,2952,2724,2687,2629,2611,魅力上昇率向上Lv.5,知力上昇率向上Lv.3,土属性上昇Lv1,2023/8/1,古今雷鳴撃,敵単体と敵全体に土属性術攻撃を行い、術耐性を低下させ、状態レベル2の土属性呪詛を付加。
7,羽柴秀吉,薬師,神通力,知将,,,30323,17422,1114,1680,1458,1832,2652,1323,1306,1264,1270,知力上昇Lv.2,魅力上昇Lv.1,,2023/1/27,羽柴の魅惑術,敵3体に一定時間、魅了と強力な生命力減少状態を付与。
7,小早川隆景,僧,仏門,名臣,外交官,,32323,18048,1492,1622,976,2915,2874,1169,1250,1141,1192,知力上昇率向上Lv.5,知力上昇Lv.2,,2023/1/27,三子教訓の備,味方全体の生命を回復し、防御力と物理・術耐性を上昇させる。
7,藤堂高虎(名臣),薬師,神通力,世渡り上手,,,30846,18293,946,1680,1458,2546,3020,1323,1306,1264,1270,魅力上昇率向上Lv.5,魅力上昇Lv.2,,2023/1/27,高虎の処世術,味方単体と味方全体の生命を回復、味方全体に行動生命回復状態を付与し、生命継続減少状態と呪詛すべてを解除。
7,宝蔵院胤栄,僧,僧兵,剣豪,,,30148,15984,3172,1864,2111,2096,2137,1757,1748,1760,1708,腕力修練志向Lv.5,腕力上昇Lv.2,,2022/12/14,宝蔵院流突尖,敵単体の結界を破壊する、守護の影響を受けない強力な近接攻撃を行う。生命力が50%以下の敵を攻撃するとダメージ追加。
7,上泉信綱,侍,武芸,剣豪,才腕,,32008,16246,2856,1542,2174,2017,1817,1198,1349,1173,2658,腕力上昇Lv.5,知力上昇Lv.2,,2022/12/10,新陰流斬空閃,任意の敵3体に間接物理ダメージと風属性術ダメージを与える。人間種族に追加ダメージ。
7,朝倉宗滴,侍,武士道,剣豪,,,33986,17839,2295,2078,1667,1886,2217,1167,1237,1067,1101,耐久上昇Lv.2,生命上昇Lv.1,,2022/12/10,九頭竜の応戦,敵単体を挑発し、自身に反撃可能な攻撃を受けた際に1回だけ強力な反撃をする状態を付与し、強結界を張る。
7,加藤段蔵,忍者,忍法,忍び,,,32254,15080,2868,1598,2411,1622,1838,970,1021,998,1217,生命上昇率向上Lv.5,器用上昇Lv.2,,2022/9/5,鳶加藤の幻撃,敵単体に強力な間接武器攻撃を行い、結界・術結界を破壊する。物理耐性と最大生命力を低下させる。
7,藤林正保,忍者,忍法,忍び,,,29346,14227,2766,1102,2139,1364,1820,903,907,912,1186,器用上昇Lv.2,気合上昇率向上Lv.1,,2022/9/5,月下暗剣殺,敵単体に結界を破壊する痺れ斬りを行う。属性付与効果を打ち消して自身へ写し取り、継続ダメージを与える。
7,望月千代女,忍者,忍術,女傑,,,30212,16594,1722,1264,2028,2488,2870,2005,2027,1415,1445,魅力修練志向Lv.5,知力修練上昇Lv.2,,2022/9/5,呪針誅殺の術,敵単体に無属性術攻撃を行い、水・土属性呪詛を与え、術耐性を低下させる。生命50%以下の敵に追加ダメージ。
7,黒田官兵衛,神主・巫女,神道,知将,才腕,多才,30271,18489,1864,1469,1805,2813,2031,1265,2796,1171,1207,知力上昇率向上Lv.5," 知力修練志向Lv.3 "," 知力上昇Lv.1 ",2026/5/20,官兵衛の神算,任意味方二体の攻撃力・知力・魅力を上げる。効果は対象の能力値に依存。さらに、気合を回復し、気合回復速度を上昇させる。
7,竹中半兵衛,陰陽師,陰陽道,名臣,,,27094,18288,951,1757,1330,2745,2424,1921,1822,1829,2891,知力上昇Lv.5,気合上昇率上昇Lv.2,,2022/8/2,半兵衛の鬼謀,敵単体と敵全体に風属性術攻撃を行い、風属性呪詛を与え、確率で行動不能にする。
7,本多正信,陰陽師,仙道,知将,,,24886,15240,2082,1277,1063,2759,1771,1598,1227,1195,1285,知力修練上昇Lv.2,知力修練志向Lv.1,,2022/8/2,狡猾なる策謀,敵全体に無属性術攻撃を行い、生命力継続ダメージを与える。気合回復速度、知力、魅力、命中力、回避力を下げ、ウェイトを増やす。
8,浅井長政,侍,武芸,知将,,,30125,17184,2656,1405,1589,1466,2097,1167,1142,1130,1318,耐久上昇率向上,,,2022/4/1,夜叉一閃,敵単体に強力な物理ダメージと風属性術ダメージを与える。
8,朝倉義景,陰陽師,仙道,文化人,,,31605,15240,1041,1702,1182,2547,2361,2363,1162,1132,1217,土属性上昇,,,2022/4/1,栄華の朧夢,敵単体に無属性術ダメージと一定時間継続ダメージを与え、確率で眠り状態にする。
7,石田三成,僧,密教,名臣,明敏,,31445,15553,1248,1474,1250,2527,2270,1410,1329,1305,2020,知力上昇,,,2022/4/1,疾風の采配,敵単体に風属性術攻撃を行い、味方全体の生命力を回復し、風属性の槍効果を付与。また、自身の回復術の効果が上昇する。
6,蒲生氏郷,侍,軍学,名臣,,,33139,19892,2537,1898,1928,2411,2634,2201,2177,2070,2216,生命上昇率向上Lv.1,魅力上昇Lv.1,,2026/2/5,転変槍術,敵全体に間接攻撃を行い、土・水・火・風のLv1属性付与効果を反転させる。
6,真柄直隆,侍,武芸,剣豪,,洒落者,28324,11900,2689,1015,1437,728,1578,645,668,667,654,腕力上昇率向上,腕力上昇,,2022/4/1,真柄大太刀斬,敵単体に近接攻撃を行い、物理耐性低下状態を付与し、間歇術、存命術の技能効果を下げる。
8,伊達政宗,侍,武芸,野心家,,,32008,16871,2499,1501,1561,1506,1852,1167,1196,1184,1160,腕力修練志向,器用上昇率向上,,2022/3/1,鎮圧の一閃,敵全体に間接攻撃を行う。
8,雑賀孫市,鍛冶屋,鉄砲鍛冶,飛道具使い,,,32016,14199,2619,1868,1545,1073,2233,1019,1052,1423,1088,腕力上昇率向上,,,2022/3/1,飛鳥三連,敵単体に挑発を受けても攻撃対象を選べる三段撃ち。とどめを刺した敵に蘇生不可状態を付与し、自身の器用さを上げる。神種族に追加ダメージ。
7,愛姫,陰陽師,陰陽道,内助の功,,,29484,18115,1059,1722,1184,2281,2402,1510,1521,1466,1581,器用修練上昇,,,2022/3/1,神殺光明,敵単体と敵全体に無属性術攻撃を行い物理耐性低下状態を付与し、自身に結界を張る。神種族に追加ダメージ。
7,鈴木重意,侍,武士道,勇将,,飛道具使い,29773,20218,2276,1908,2092,1817,2718,1155,1226,1216,1045,器用修練志向,,,2022/3/1,雑賀流誘い水,敵単体に近接攻撃を行いつつ、長時間注意を引きつけ、自身に4回分の物理生命力ダメージを気合ダメージに変換する強結界を張る。
6,岡吉正,鍛冶屋,鉄砲鍛冶,神仏の徒,,,23303,11312,2540,1527,1515,709,1800,730,788,856,844,腕力修練志向,,,2022/3/1,追込の一弾,敵単体に挑発を受けても攻撃対象を選べる間接攻撃を行う。生命力が50%以下の敵を攻撃するとダメージ追加。
6,原田宗時,傾奇者,地勢,洒落者,,,28148,12926,1235,1220,1139,1512,1401,854,812,786,827,知力上昇率向上,,,2022/3/1,飛躍滅神斬,敵単体に近接攻撃を行う。神種族に追加ダメージ。
8,足利義輝,侍,武芸,剣豪,,,30394,17340,2633,1365,1672,1479,2080,1167,1088,1077,1477,魅力修練上昇,,,2022/1/31,獅子奮迅,敵単体に超強力な連撃を行う。鬼種族に追加ダメージ。
7,朝比奈泰朝,薬師,神通力,勇将,,,25879,20035,1114,1680,1458,2546,1842,1653,1266,2591,1257,火属性上昇,,,2022/1/31,滅鬼火焰獄,敵全体に火属性術攻撃し、攻撃力を低下。鬼種族に追加ダメージ。受ける物理攻撃ダメージが増加する状態を付与。
7,和田惟政,忍者,忍術,忍び,,,27060,14950,1758,1189,2119,2451,1864,2458,1232,1268,1362,土属性上昇率向上,,,2022/1/31,神雷罰鬼,任意の敵3体に、呪詛の数に応じた土属性術ダメージを与える。鬼種族に追加ダメージ。
6,三淵晴員,侍,軍学,神仏の徒,,,34150,12834,1197,1524,1141,1526,2424,996,985,937,1003,風属性上昇率向上,,,2022/1/31,晴員の差略,任意の敵3体の注意を引きつけ、状態レベル2の強力な四属性呪詛を付与する。
6,瀬名氏俊,陰陽師,仙道,世渡り上手,,,22056,12889,720,1085,881,2243,1606,1093,1679,900,1004,知力修練志向,,,2022/1/31,悪鬼氷縛,敵全体に水属性術攻撃を放ち、確率で近接攻撃を一定時間封じる。鬼種族に追加ダメージ。
7,猿飛佐助,忍者,忍術,忍び,,,26272,14202,1722,1151,1816,2024,1938,807,2520,2536,806,火属性上昇率向上,,,2021/11/8,焔舞氷壊の術,任意の敵3体に火属性と水属性の術を放ち、状態レベル2の火属性・水属性呪詛をつける。大神種族に追加ダメージ。
7,杉谷善住坊,鍛冶屋,鉄砲鍛冶,飛道具使い,,,26336,15050,2700,2084,1396,897,1751,1059,1136,1078,1109,腕力上昇率向上,,,2021/11/8,千草峠の狙撃,敵単体に強力な間接攻撃を行う。生命力が50%以下の敵を攻撃するとダメージ追加。荒神種族に追加ダメージ。
6,室賀正武,陰陽師,召喚術,野心家,,,30814,20068,504,981,619,1805,1315,1009,1015,1013,1016,知力修練志向,,,2021/11/8,室賀流喝爆符,敵単体に強力な術を放ち、自身の蓄積値を1000増加させる。荒神種族に追加ダメージ。
6,植田光次,神主・巫女,古神道,忍び,,,27284,18798,943,1040,1021,2110,1589,906,980,958,2353,風属性上昇,,,2021/11/8,四柱神護の祝,味方全体に状態レベル2の四属性付与をつけ、選択した1人の生命力を大きく回復。
8,斎藤道三,僧,僧兵,野心家,才腕,,31707,15699,2851,1748,1328,1905,1896,1307,1177,1094,1094,気合上昇率向上,,,2021/10/4,蝮の劇毒,敵全体に無属性術ダメージと一定時間継続ダメージを与え、確率で行動不能にする。
7,武田勝頼,侍,軍学,勇将,,,30386,13756,1728,1966,1443,2039,2684,1513,1336,2230,1149,耐久上昇,火属性上昇,,2021/10/4,武田軍略・火,敵全体に火属性術ダメージを与え、物理耐性と術耐性を低下させる。自陣営の士気玉を1つ追加する。
7,直江兼続,陰陽師,陰陽道,知将,,,29219,20013,1740,1757,1172,1966,2446,1767,1722,1697,1752,気合上昇率向上,,,2021/9/1,神霊滅破,任意敵3体に無属性術攻撃、神種族に追加ダメージ。自身に周天法と反閉呪法の効果。
7,本願寺証如,僧,密教,神仏の徒,,,27859,18229,1521,1690,1062,2144,2699,1410,2430,1317,2419,風属性上昇,気合上昇率向上,,2021/9/1,仏護の秘法,味方全体の物理耐性と術耐性を上げ、自身が使用する回復術の効果が上昇する。
6,七里頼周,僧,仏門,神仏の徒,才腕,,24832,15024,901,1209,797,1799,2456,1091,834,771,799,器用修練上昇,,,2021/9/1,阿弥陀の御力,味方全体の物理耐性を上げ、生命継続回復と気合回復速度上昇を付与。自身の回復術効果上昇。
6,本庄繁長,侍,武芸,鬼,,,21302,17971,1767,1201,1173,1235,1521,942,588,574,934,生命修練上昇,,,2021/9/1,倒神大裂斬,敵単体に近接攻撃を行い、神種族に追加ダメージ。状態Lv2の火属性・土属性呪詛を与える。
7,ねね(納涼),薬師,神通力,内助の功,世渡り上手,,29016,18293,1114,1696,1458,2509,1842,1323,1306,1264,1270,気合修練上昇,知力上昇,,2021/8/18,ねねの後ろ盾,味方単体に受けた物理ダメージの一部を継続ダメージに変換する状態を付与し、味方全体を回復。
7,羽柴秀吉(納涼),侍,軍学,野心家,,外交官,33763,15700,1852,1639,1458,1758,2740,1155,1183,1115,1223,生命上昇率向上,魅力上昇,耐久上昇,2021/8/18,千成瓢箪の光,敵全体に強力な無属性術ダメージを放ち、自身への標的度を大幅に上げる。
7,前田慶次,傾奇者,地勢,洒落者,,,30736,17864,2553,1594,1484,1950,1842,1249,1173,1155,1207,腕力修練志向,,,2021/7/2,婆娑羅繚乱撃斬,敵単体に近接攻撃を行い、近接ダメージ上昇・士気回復速度増加の地勢を宿らせる。
7,筒井順慶,僧,僧兵,神仏の徒,文化人,,26249,15556,2128,1486,1274,1778,2603,1108,2029,1083,2021,水属性上昇率向上,,,2021/7/2,陽舜房閻魔撃,敵単体に近接攻撃を行い、味方全体の生命を回復する。3回回復術の効果が上昇する。
6,小西行長,薬師,修験道,神仏の徒,,外交官,26168,16092,736,1312,1019,1978,2620,1302,946,963,932,知力修練志向,,,2021/7/2,小西流四衰呪,敵全体に状態レベル2の強力な四属性呪詛を付与する。
8,北条氏康,侍,武芸,野心家,,,29049,17027,2544,1474,1547,1452,1957,1485,1088,1077,1055,腕力上昇,,,2021/4/2,必討の一閃,ランダムな敵3体に間接物理ダメージを与える。
7,風魔小太郎,忍者,忍術,忍び,飛道具使い,宿将,29424,15398,1758,1126,1362,2506,1882,1100,1008,1201,2349,風属性上昇率向上,,,2021/4/2,風魔の鎌鼬,敵全体に風属性術ダメージを与え、属性付与効果を一つ打ち消し、物理耐性低下状態を付与する。
7,服部半蔵,忍者,暗殺術,忍び,,,29258,15388,2808,1194,1650,1191,1812,1032,1059,1098,1339,腕力上昇,腕力修練志向,,2021/4/2,半蔵の暗殺術,敵単体に守護の影響を受けない、大ダメージ痺れ斬りを行う。
6,板部岡江雪斎,僧,密教,外交官,,長寿,25056,14017,960,1356,842,2001,2515,912,1135,1058,870,魅力修練上昇,知力上昇率向上,,2021/4/2,江雪斎の秘術,敵全体の結界を破壊する術攻撃を放つ。一定時間結界を張れなくし、物理と術の耐性を下げる。
7,雑賀孫六,鍛冶屋,鉄砲鍛冶,飛道具使い,,,28402,14908,2418,1886,1634,1073,2117,1019,1052,1403,1088,腕力上昇,腕力修練志向,,2021/2/2,戦意高揚射撃,敵全体に間接攻撃を行い、自陣営の士気玉を1つ追加する。
7,本願寺教如,僧,密教,神仏の徒,,,30342,18396,1865,1988,1162,2106,1788,1331,1853,1267,1247,水属性上昇,,,2021/2/2,仏敵冥道秘呪,敵全体を死人に変え、生命力の最大値を減少させる。
8,三好長慶,神主・巫女,古神道,野心家,,,31088,24300,1607,1461,1438,1976,2089,1200,1080,1023,2342,魅力上昇率向上,,,2020/12/1,覆滅天炎,選択した敵単体へ固定妖術ダメージを与え、さらに敵全体にも固定妖術ダメージを与える。
7,太原雪斎,僧,密教,外交官,,文化人,26756,18563,1435,1590,1107,2451,1948,1197,2256,1140,1122,魅力修練上昇,知力上昇,,2020/12/1,黒衣の導き,味方全体の最大生命力を上げ、味方全体の生命力を回復。自身に回復量が上昇する状態を付与する。
7,松永久秀,陰陽師,陰陽道,野心家,,,29219,18978,1124,1740,1343,2485,2622,1801,1755,2801,1786,,,,2020/11/27,平蜘蛛爆散,敵3体に火属性術ダメージを与え、行動ダメージ状態を付与、自身に術ダメージ上昇状態を付与する。
8,真田昌幸,忍者,忍術,野心家,,,27585,17192,1933,1252,1741,2135,2050,1100,1008,1201,2363,知力上昇率向上,,,2020/10/5,真田流軍学,敵全体を行動不能にする。さらに、行動不能にできた相手の付与効果を打ち消す。
7,真田幸村,侍,武芸,剣豪,,,28511,18590,2901,1365,1394,1345,2045,1114,1088,1130,1107,器用上昇率向上,腕力上昇,,2020/10/5,日本一の勇猛,選択した敵単体へ強力な間接攻撃を行い、さらに敵全体にも間接攻撃を行う。
6,遠山景任,鍛冶屋,鉄砲鍛冶,知将,,,24235,11312,2137,1324,2222,733,1753,664,735,878,738,耐久上昇,,,2020/10/5,雷閃貫頭,敵単体に挑発を受けても攻撃対象を選べ、結界の影響を受けない強力な間接攻撃を行う。
7,浅井久政,神主・巫女,神道,野心家,,,27881,17840,2205,1429,1736,1769,1757,1194,1165,1171,1243,気合修練上昇,,,2020/8/31,冥葬の神弓,ランダムな敵5体に無属性の術攻撃を行い、標的をランダム化させる。
7,足利義昭,神主・巫女,雅楽,野心家,,,27537,15302,1553,1512,1145,2020,1946,1156,1051,995,1063,気合修練志向,魅力上昇,,2020/8/4,包囲令,味方全体の攻撃力、防御力を上げ、特定妖術の予備動作を省く。
7,北条幻庵,僧,仏門,長寿,,,24242,18048,1571,1545,1085,2311,2136,1169,1226,1119,1192,魅力上昇,生命上昇,,2020/8/4,幻庵の導き,味方全体の生命力を回復し、攻撃力、知力、魅力を大幅に上げる。
7,明智光安,神主・巫女,古神道,勇将,宿将,,25906,28206,1488,1305,1308,1765,1935,1334,1200,1137,1378,気合上昇,,,2020/6/30,桔梗の装い,敵全体を確率で長時間魅了する。
8,織田信長,侍,武芸,野心家,,,27435,17496,2678,1392,1533,1492,1975,1061,1088,1507,1055,生命上昇率向上,,,2020/6/29,天下夢幻,敵全体に無属性術ダメージと気合ダメージを与える。
7,明智光秀(十七),僧,密教,野心家,,,27584,16724,1435,1325,1107,2298,1886,2129,537,506,1995,知力修練上昇,,,2020/5/29,雷槍乱舞,敵全体に土属性の準備なし妖術を放ち、器用さ・知力・魅力を下げる。
7,立花誾千代,侍,武芸,女傑,,,29049,15934,2187,1392,1366,1371,1748,1220,1033,1023,1002,土属性上昇率向上,,,2020/4/22,雷切一閃,敵単体に近接攻撃を行い、敵全体にも土属性の術ダメージを与える。
8,徳川家康,侍,軍学,世渡り上手,,,30949,16448,1675,2048,1603,1933,1864,1617,1183,1115,1223,耐久上昇,,,2020/3/30,究極の忍耐,味方全体の物理耐性と妖術耐性を上げ、属性呪詛を解除。さらに味方全体の生命力と気合を回復。
6,森田浄曇,侍,軍学,長寿,,忍び,25297,12834,1076,1385,1460,1831,1615,906,896,851,911,気合上昇,知力上昇,,2020/3/30,伊賀流霧隠れ,味方全体の命中力と回避力を上げ、ウェイトを減少。看破や上書きされるまで効果が継続。
8,百地三太夫,忍者,忍法,忍び,,,31990,15649,2745,1515,2139,1667,2002,952,1337,960,1032,器用上昇,,,2020/3/27,滅,敵単体に守護術の影響を受けない近接攻撃を行い、気合ダメージを与える。
6,本多忠勝,侍,武芸,猛将,,,23409,12143,1921,851,1150,922,1409,688,698,682,826,生命修練志向,腕力修練志向,,2020/3/27,天下無双撃,敵単体に強力な五連撃を行う。命中力、回避力を下げ、ウェイトを増加させる。
8,武田信玄,僧,仏門,神仏の徒,,,30437,16408,1696,1931,1171,1955,2213,2045,1226,1342,1192,魅力上昇,土属性上昇率向上,,2020/3/4,甲州軍学・山,敵全体を一定時間行動不能にする。
7,宇佐美定満,陰陽師,仙道,知将,才腕,,24886,15240,2602,1348,1359,2123,1968,2224,1033,1006,1082,土属性上昇,,,2020/3/4,宇佐美流軍学,味方全体の防御力、命中力、回避力を上げ、ウェイトを減少させる。また、自身の攻撃力を上げる。
7,真田幸隆,忍者,暗殺術,知将,,,26843,14517,2739,1149,1689,1191,1812,1413,1003,1040,1048,器用修練上昇,気合上昇,,2020/3/4,甲州軍学・山,敵全体を一定時間行動不能にする。
8,お市(婚礼),陰陽師,仙道,内助の功,,,30112,15849,957,1716,1512,2653,2715,1973,2713,1761,1907,気合修練志向,,,,,
8,伊達政宗(新星),侍,武芸,猛将,,野心家,35236,17496,2611,1556,1547,1250,2709,976,903,1023,917,生命上昇,生命修練上昇,魅力修練上昇,,,
8,今川義元(周年),神主・巫女,神道,明敏,野心家,,34520,24328,3268,1837,2135,2527,3066,2161,2131,2564,1991,腕力上昇,生命上昇,腕力上昇率向上,,,
8,斎藤道三(巳),侍,武士道,才腕,野心家,,37637,21747,2295,2249,2016,2658,2949,2474,2418,2262,2345,耐久上昇,魅力上昇,生命上昇,,,
8,雑賀孫市(陣羽織),鍛冶屋,鎧鍛冶,飛道具使い,,,32983,15101,1892,2263,1480,1029,2129,995,979,1441,987,耐久修練上昇,,,,,
8,三好長慶(生殺),薬師,医学,明敏,野心家,,35377,24213,1768,1742,2197,2894,3016,2541,2577,2553,2444,知力上昇率向上,知力修練志向,魅力上昇,,,
8,上杉謙信(野望),僧,僧兵,鬼,,神仏の徒,36386,19980,2771,2214,2111,2540,2792,1610,1670,1625,1604,生命上昇率向上,耐久上昇率向上,,,,
8,織田信長(周年),侍,軍学,野心家,,,37139,15850,2610,2229,2012,2847,2833,2032,2046,2843,2091,生命上昇率向上,生命上昇,,,,
8,織田信長(特別),侍,武士道,文化人,,,33705,19538,2276,1959,1667,1937,2275,1167,1125,1493,1101,火属性上昇率向上,,,,,
8,真田幸村(新星),侍,武芸,猛将,,,31201,17027,2812,1487,1435,1170,2534,891,1011,936,1033,腕力上昇,生命上昇,生命修練志向,,,
8,真田昌幸(吸血),忍者,忍術,知将,世渡り上手,,34154,19136,2179,1539,1907,2859,2516,2017,2004,2189,2863,知力上昇,風属性上昇率向上,知力上昇率向上,,,
8,浅井長政(婚礼),侍,武士道,勇将,,,35390,18009,1836,2078,1561,2058,2699,2719,1192,1077,1409,腕力修練上昇,,,,,
8,足利義輝(野望),侍,武士道,根性,剣豪,,37357,20388,2831,2215,2016,1886,2602,2100,2081,1920,2036,生命上昇,腕力上昇,生命修練志向,,,
8,大友宗麟,鍛冶屋,鉄砲鍛冶,外交官,神仏の徒,,36664,20304,3123,2228,2229,1756,3022,1834,1914,1820,2001,腕力上昇率向上,生命上昇,魅力上昇,,,
8,長宗我部元親(納涼),傾奇者,四象,洒落者,鬼,,36508,19474,2976,1498,1933,1942,2394,2378,2992,2154,2272,腕力上昇,腕力上昇率向上,水属性上昇,,,
8,長尾景虎,僧,密教,明敏,神仏の徒,,36410,20905,2511,2236,1881,2891,3039,2608,2618,2597,2593,知力上昇率向上,生命上昇,知力上昇,,,
8,長尾虎,僧,僧兵,根性,忍び,,36386,19267,3152,2185,2151,2540,2930,1882,2017,1875,1875,腕力上昇率向上,魅力上昇,生命上昇,,,
8,徳川家康(東軍),侍,軍学,野心家,,世渡り上手,32705,18541,1675,2130,1676,2812,2870,1397,1407,1271,1430,知力修練志向,魅力上昇率向上,,,,
8,武田信玄(野望),僧,密教,猛将,野心家,,33376,16724,1549,1855,1195,2738,2842,1850,1853,1786,1808,知力修練上昇,魅力上昇率向上,,,,
8,北条氏康(獅子),侍,軍学,外交官,勇将,,37139,20186,2381,2130,2187,2900,3001,2529,2578,2419,2641,耐久上昇,知力上昇,耐久修練志向,,,
8,毛利元就,陰陽師,仙道,長寿,,,35338,17221,1082,1390,1430,2908,2400,1848,1757,1647,2963,知力上昇率向上,知力上昇,風属性上昇,,,
