result_id,eiketsu_position_key,eiketsu_set_key,bond_set_key,eiketsu_ids,bond_ids,bond_count,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,登録元,備考
163,19138207|54667794|92604507|8885443|95380774|68360833,8885443|19138207|54667794|68360833|92604507|95380774,1539411415|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|54667794|92604507|8885443|95380774|68360833,3229870434|4147499442|4065583492|1759106308|3291951894|1539411415|3872659029|3623586604,8,11491,4306,266,259,0,729,464,499,515,538,485,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
164,19138207|54667794|92604507|8885443|95380774|17916985,8885443|17916985|19138207|54667794|92604507|95380774,1539411415|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|54667794|92604507|8885443|95380774|17916985,3229870434|4147499442|4065583492|1759106308|3291951894|1539411415|3872659029|3623586604,8,11495,4287,243,256,0,740,464,496,506,525,474,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
165,879247|69769069|65288117|47141776|97364933|16653100,879247|16653100|47141776|65288117|69769069|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,879247|69769069|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,10735,1649,623,465,332,149,332,183,201,206,193,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
166,65584396|38521518|18823772|91853650|62167859|46105657,18823772|38521518|46105657|62167859|65584396|91853650,95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|38521518|18823772|91853650|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|1806394358|95603453,8,10793,537,422,234,360,358,881,359,414,422,302,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
167,94752513|69769069|65288117|47141776|97364933|16653100,16653100|47141776|65288117|69769069|94752513|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,94752513|69769069|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,10439,1568,621,448,321,146,323,177,188,201,192,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
168,94752513|69769069|65288117|47141776|97364933|71309377,47141776|65288117|69769069|71309377|94752513|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4126911837|4147499442,94752513|69769069|65288117|47141776|97364933|71309377,1952765698|4147499442|760378724|3244390646|1948350679|4126911837|1977159726|1636304095,8,10104,2818,638,425,301,165,168,162,164,179,174,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
169,94752513|69769069|65288117|47141776|97364933|56823172,47141776|56823172|65288117|69769069|94752513|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4126911837|4147499442,94752513|69769069|65288117|47141776|97364933|56823172,1952765698|4147499442|760378724|3244390646|1948350679|4126911837|1977159726|1636304095,8,10174,2816,627,420,309,158,161,172,179,192,188,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
170,89823774|65584396|69916062|77785462|45999973|35073507,35073507|45999973|65584396|69916062|77785462|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|65584396|69916062|77785462|45999973|35073507,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9819,2430,249,100,218,775,313,372,381,412,310,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
171,89823774|65584396|69916062|77785462|45999973|71616907,45999973|65584396|69916062|71616907|77785462|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|65584396|69916062|77785462|45999973|71616907,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,10191,2605,259,105,231,803,324,404,427,412,341,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
172,89823774|65584396|69916062|77785462|45999973|83690371,45999973|65584396|69916062|77785462|83690371|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|65584396|69916062|77785462|45999973|83690371,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9435,2319,242,94,208,710,291,356,360,354,302,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
173,89823774|65584396|69916062|77785462|45999973|81662211,45999973|65584396|69916062|77785462|81662211|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|65584396|69916062|77785462|45999973|81662211,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9318,2283,238,92,204,709,285,346,349,364,287,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
174,65584396|69916062|18823772|91853650|62167859|46105657,18823772|46105657|62167859|65584396|69916062|91853650,95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|69916062|18823772|91853650|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|1806394358|95603453,8,10699,559,475,242,371,373,885,368,427,430,306,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
175,69916062|65584396|76290933|22260832|45999973|77785462,22260832|45999973|65584396|69916062|76290933|77785462,70516445|618096012|1759106308|3190387884|3229870434|3244390646|3291951894|3900127887,69916062|65584396|76290933|22260832|45999973|77785462,3190387884|3229870434|1759106308|3244390646|3291951894|618096012|70516445|3900127887,8,9704,1325,250,98,217,732,304,467,495,459,425,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
176,18823772|95380774|37184384|97364933|65288117|16653100,16653100|18823772|37184384|65288117|95380774|97364933,760378724|1636304095|1913916333|1948350679|1977159726|3244390646|4101920554|4126911837,18823772|95380774|37184384|97364933|65288117|16653100,1636304095|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1913916333,8,12502,1767,523,543,266,295,489,213,237,251,209,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
177,51975022|39357702|79035763|18823772|77317269|54667794,18823772|39357702|51975022|54667794|77317269|79035763,70072982|618096012|881523760|1806394358|2526487543|2918637613|3244390646|4101920554,51975022|39357702|79035763|18823772|77317269|54667794,881523760|2526487543|3244390646|70072982|1806394358|4101920554|618096012|2918637613,8,11297,1034,911,133,410,294,575,120,143,136,85,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
178,63525887|7819448|47722910|47141776|97364933|16653100,7819448|16653100|47141776|47722910|63525887|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,63525887|7819448|47722910|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11654,1720,658,492,352,166,338,241,233,237,223,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
179,879247|7819448|47722910|47141776|97364933|16653100,879247|7819448|16653100|47141776|47722910|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,879247|7819448|47722910|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11503,1743,665,495,356,166,348,219,239,235,228,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
180,72522462|39357702|18823772|91853650|62167859|68061367,18823772|39357702|62167859|68061367|72522462|91853650,95603453|618096012|1539411415|1636304095|1806394358|1913916333|2687121143|4101920554,72522462|39357702|18823772|91853650|62167859|68061367,1806394358|1539411415|95603453|4101920554|2687121143|618096012|1913916333|1636304095,8,11623,910,460,350,318,504,980,256,307,288,183,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
181,95380774|18823772|72522462|56555361|8235820|92604507,8235820|18823772|56555361|72522462|92604507|95380774,70516445|1759106308|1913916333|2687121143|3190387884|3229870434|3291951894|4126911837,95380774|18823772|72522462|56555361|8235820|92604507,3229870434|1759106308|3291951894|2687121143|70516445|3190387884|4126911837|1913916333,8,12130,3006,286,232,283,1140,404,464,490,526,498,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
182,95380774|18823772|72522462|56555361|8885443|92604507,8885443|18823772|56555361|72522462|92604507|95380774,70516445|1759106308|1913916333|2687121143|3190387884|3229870434|3291951894|4126911837,95380774|18823772|72522462|56555361|8885443|92604507,3229870434|1759106308|3291951894|2687121143|70516445|3190387884|4126911837|1913916333,8,11817,3064,255,233,278,1134,404,454,504,545,481,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
183,72522462|95380774|18823772|91853650|62167859|68061367,18823772|62167859|68061367|72522462|91853650|95380774,95603453|618096012|1539411415|1806394358|1913916333|2687121143|4101920554|4126911837,72522462|95380774|18823772|91853650|62167859|68061367,1806394358|1539411415|95603453|4101920554|2687121143|618096012|4126911837|1913916333,8,11812,2143,307,286,336,657,968,288,324,316,191,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
184,54764938|60475627|18823772|91853650|62167859|48426513,18823772|48426513|54764938|60475627|62167859|91853650,95603453|618096012|1539411415|1636304095|1806394358|2687121143|4101920554|4126911837,54764938|60475627|18823772|91853650|62167859|48426513,1806394358|1539411415|95603453|4101920554|2687121143|618096012|4126911837|1636304095,8,10609,2061,463,227,370,443,796,245,270,270,156,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
185,63525887|7819448|65288117|47141776|97364933|16653100,7819448|16653100|47141776|63525887|65288117|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,63525887|7819448|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11699,1759,661,492,357,167,346,238,229,238,220,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
186,65584396|27244702|18823772|91853650|62167859|46105657,18823772|27244702|46105657|62167859|65584396|91853650,95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|27244702|18823772|91853650|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|1806394358|95603453,8,11788,591,466,265,396,394,987,423,476,482,347,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
187,879247|7819448|65288117|47141776|97364933|16653100,879247|7819448|16653100|47141776|65288117|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,879247|7819448|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11548,1783,668,496,361,167,357,216,235,237,225,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
188,63525887|95213074|47722910|47141776|97364933|16653100,16653100|47141776|47722910|63525887|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,63525887|95213074|47722910|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11322,1656,629,480,338,156,323,217,207,212,199,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
189,879247|95213074|47722910|47141776|97364933|16653100,879247|16653100|47141776|47722910|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,879247|95213074|47722910|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11172,1680,636,483,342,156,334,195,213,211,204,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
190,65288117|7819448|94752513|80873981|97364933|42143972,7819448|42143972|65288117|80873981|94752513|97364933,760378724|1948350679|1952765698|1977159726|2610078354|3244390646|4126911837|4147499442,65288117|7819448|94752513|80873981|97364933|42143972,1952765698|760378724|1977159726|4147499442|2610078354|3244390646|1948350679|4126911837,8,10850,4214,658,381,283,179,192,185,196,202,197,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
191,65288117|7819448|94752513|89823774|97364933|42143972,7819448|42143972|65288117|89823774|94752513|97364933,760378724|1948350679|1952765698|1977159726|2610078354|3244390646|4126911837|4147499442,65288117|7819448|94752513|89823774|97364933|42143972,1952765698|760378724|1977159726|4147499442|2610078354|3244390646|1948350679|4126911837,8,11103,4395,681,405,296,197,191,211,222,232,223,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
192,65288117|7819448|94752513|6218471|97364933|42143972,6218471|7819448|42143972|65288117|94752513|97364933,760378724|1948350679|1952765698|1977159726|2610078354|3244390646|4126911837|4147499442,65288117|7819448|94752513|6218471|97364933|42143972,1952765698|760378724|1977159726|4147499442|2610078354|3244390646|1948350679|4126911837,8,10791,4325,651,401,288,194,194,190,200,205,200,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
193,65288117|7819448|94752513|95380774|97364933|42143972,7819448|42143972|65288117|94752513|95380774|97364933,760378724|1948350679|1952765698|1977159726|2610078354|3244390646|4126911837|4147499442,65288117|7819448|94752513|95380774|97364933|42143972,1952765698|760378724|1977159726|4147499442|2610078354|3244390646|1948350679|4126911837,8,11213,4313,679,395,297,196,184,218,227,232,225,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
194,65288117|7819448|94752513|78024326|97364933|42143972,7819448|42143972|65288117|78024326|94752513|97364933,760378724|1948350679|1952765698|1977159726|2610078354|3244390646|4126911837|4147499442,65288117|7819448|94752513|78024326|97364933|42143972,1952765698|760378724|1977159726|4147499442|2610078354|3244390646|1948350679|4126911837,8,11040,4220,690,405,297,195,193,201,211,232,212,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
195,94752513|95213074|47722910|47141776|97364933|16653100,16653100|47141776|47722910|94752513|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,94752513|95213074|47722910|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,10875,1599,633,466,332,152,325,190,201,205,203,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
196,94752513|95213074|47722910|47141776|97364933|71309377,47141776|47722910|71309377|94752513|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4126911837|4147499442,94752513|95213074|47722910|47141776|97364933|71309377,1952765698|4147499442|760378724|3244390646|1948350679|4126911837|1977159726|1636304095,8,10540,2877,652,443,311,174,169,174,176,183,186,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
197,94752513|95213074|47722910|47141776|97364933|56823172,47141776|47722910|56823172|94752513|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4126911837|4147499442,94752513|95213074|47722910|47141776|97364933|56823172,1952765698|4147499442|760378724|3244390646|1948350679|4126911837|1977159726|1636304095,8,10610,2876,641,438,319,166,162,184,191,197,199,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
198,65584396|38892559|18823772|91853650|62167859|46105657,18823772|38892559|46105657|62167859|65584396|91853650,95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|38892559|18823772|91853650|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|1806394358|95603453,8,10793,537,431,236,360,352,881,362,414,422,300,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
199,65584396|39357702|38892559|30290743|62167859|46105657,30290743|38892559|39357702|46105657|62167859|65584396,70072982|95603453|618096012|1539411415|2918637613|3244390646|3337786097|4101920554,65584396|39357702|38892559|30290743|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|70072982|95603453,8,10670,1018,421,230,424,328,682,364,383,371,320,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
200,65584396|39357702|38892559|91853650|62167859|46105657,38892559|39357702|46105657|62167859|65584396|91853650,70072982|95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097,65584396|39357702|38892559|91853650|62167859|46105657,1539411415|618096012|2918637613|3337786097|3244390646|70072982|1806394358|95603453,8,10809,1074,503,237,450,265,691,377,419,383,328,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
201,65584396|39357702|38892559|18823772|77317269|54667794,18823772|38892559|39357702|54667794|65584396|77317269,70072982|618096012|881523760|1539411415|1806394358|2918637613|3244390646|4101920554,65584396|39357702|38892559|18823772|77317269|54667794,1539411415|4101920554|618096012|2918637613|881523760|3244390646|70072982|1806394358,8,10384,1018,701,122,302,370,659,195,226,218,148,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
202,65584396|39357702|38892559|18823772|62167859|46105657,18823772|38892559|39357702|46105657|62167859|65584396,70072982|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|39357702|38892559|18823772|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|70072982|1806394358,8,10849,1053,614,131,441,264,693,340,390,402,303,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
203,48430006|45183900|65288117|97364933|47141776|38560820,38560820|45183900|47141776|48430006|65288117|97364933,209587637|760378724|1636304095|1948350679|1977159726|2617904296|3244390646|4271235978,48430006|45183900|65288117|97364933|47141776|38560820,760378724|209587637|3244390646|1948350679|2617904296|4271235978|1977159726|1636304095,8,10754,495,927,475,369,0,413,204,205,223,211,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
204,51519369|45183900|65288117|97364933|47141776|39430243,39430243|45183900|47141776|51519369|65288117|97364933,70072982|209587637|760378724|1636304095|1948350679|1977159726|3244390646|4271235978,51519369|45183900|65288117|97364933|47141776|39430243,760378724|209587637|3244390646|1948350679|70072982|4271235978|1977159726|1636304095,8,9868,852,856,331,368,0,360,154,156,173,188,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
205,51519369|45183900|65288117|97364933|47141776|45333757,45183900|45333757|47141776|51519369|65288117|97364933,70072982|209587637|760378724|1636304095|1948350679|1977159726|3244390646|4271235978,51519369|45183900|65288117|97364933|47141776|45333757,760378724|209587637|3244390646|1948350679|70072982|4271235978|1977159726|1636304095,8,10109,926,833,346,379,0,379,179,179,207,188,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
206,19138207|15674090|92604507|48868869|77317269|73754285,15674090|19138207|48868869|73754285|77317269|92604507,618096012|909908596|1539411415|2431219077|3608342681|3695590648|4065583492|4101920554,19138207|15674090|92604507|48868869|77317269|73754285,4065583492|2431219077|4101920554|618096012|909908596|1539411415|3695590648|3608342681,8,11261,1799,68,69,289,404,650,669,683,684,587,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
207,19138207|15674090|92604507|98826390|77317269|73754285,15674090|19138207|73754285|77317269|92604507|98826390,618096012|909908596|1539411415|2431219077|3608342681|3695590648|4065583492|4101920554,19138207|15674090|92604507|98826390|77317269|73754285,4065583492|2431219077|4101920554|618096012|909908596|1539411415|3695590648|3608342681,8,11162,1883,70,71,285,412,708,743,752,759,661,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
208,19138207|15674090|92604507|8235820|95380774|68360833,8235820|15674090|19138207|68360833|92604507|95380774,909908596|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|15674090|92604507|8235820|95380774|68360833,3229870434|4147499442|4065583492|909908596|1759106308|3291951894|3872659029|3623586604,8,11588,5102,297,256,0,700,340,574,571,584,566,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
209,19138207|15674090|92604507|8235820|95380774|17916985,8235820|15674090|17916985|19138207|92604507|95380774,909908596|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|15674090|92604507|8235820|95380774|17916985,3229870434|4147499442|4065583492|909908596|1759106308|3291951894|3872659029|3623586604,8,11592,5079,274,253,0,712,340,571,561,568,553,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
210,19138207|15674090|92604507|8885443|95380774|68360833,8885443|15674090|19138207|68360833|92604507|95380774,909908596|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|15674090|92604507|8885443|95380774|68360833,3229870434|4147499442|4065583492|909908596|1759106308|3291951894|3872659029|3623586604,8,11275,5200,266,257,0,696,340,561,587,607,545,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
211,19138207|15674090|92604507|8885443|95380774|17916985,8885443|15674090|17916985|19138207|92604507|95380774,909908596|1759106308|3229870434|3291951894|3623586604|3872659029|4065583492|4147499442,19138207|15674090|92604507|8885443|95380774|17916985,3229870434|4147499442|4065583492|909908596|1759106308|3291951894|3872659029|3623586604,8,11279,5177,243,254,0,707,340,558,577,592,533,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
212,19138207|15674090|92604507|22724168|70764716|73754285,15674090|19138207|22724168|70764716|73754285|92604507,618096012|909908596|1539411415|2431219077|2627334406|3608342681|3695590648|4065583492,19138207|15674090|92604507|22724168|70764716|73754285,4065583492|2431219077|2627334406|618096012|909908596|1539411415|3695590648|3608342681,8,10661,1632,68,115,279,396,503,758,771,793,666,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
213,19138207|15674090|92604507|98478009|70764716|73754285,15674090|19138207|70764716|73754285|92604507|98478009,618096012|909908596|1539411415|2431219077|2627334406|3608342681|3695590648|4065583492,19138207|15674090|92604507|98478009|70764716|73754285,4065583492|2431219077|2627334406|618096012|909908596|1539411415|3695590648|3608342681,8,10805,1706,73,119,288,400,507,784,795,817,688,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
214,19138207|15674090|92604507|90692810|70764716|73754285,15674090|19138207|70764716|73754285|90692810|92604507,618096012|909908596|1539411415|2431219077|2627334406|3608342681|3695590648|4065583492,19138207|15674090|92604507|90692810|70764716|73754285,4065583492|2431219077|2627334406|618096012|909908596|1539411415|3695590648|3608342681,8,10805,1680,68,121,292,422,545,829,807,829,730,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
215,89823774|52610245|69916062|77785462|45999973|35073507,35073507|45999973|52610245|69916062|77785462|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|52610245|69916062|77785462|45999973|35073507,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9398,2229,229,94,186,681,285,310,317,356,250,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
216,89823774|52610245|69916062|77785462|45999973|71616907,45999973|52610245|69916062|71616907|77785462|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|52610245|69916062|77785462|45999973|71616907,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9769,2403,239,99,200,709,296,343,364,356,280,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
217,89823774|52610245|69916062|77785462|45999973|83690371,45999973|52610245|69916062|77785462|83690371|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|52610245|69916062|77785462|45999973|83690371,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,9014,2118,221,88,176,616,263,294,296,298,242,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
218,89823774|52610245|69916062|77785462|45999973|81662211,45999973|52610245|69916062|77785462|81662211|89823774,70516445|618096012|1759106308|2440812516|3190387884|3229870434|3244390646|3291951894,89823774|52610245|69916062|77785462|45999973|81662211,3229870434|3190387884|1759106308|2440812516|3244390646|3291951894|618096012|70516445,8,8897,2082,218,85,173,615,257,285,285,308,226,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
219,63525887|95213074|65288117|47141776|97364933|16653100,16653100|47141776|63525887|65288117|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,63525887|95213074|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11367,1696,631,480,343,157,331,213,204,214,196,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
220,879247|95213074|65288117|47141776|97364933|16653100,879247|16653100|47141776|65288117|95213074|97364933,760378724|1636304095|1948350679|1952765698|1977159726|3244390646|4101920554|4126911837,879247|95213074|65288117|47141776|97364933|16653100,1952765698|760378724|3244390646|1948350679|4101920554|4126911837|1977159726|1636304095,8,11217,1720,638,483,347,157,342,192,209,212,201,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
221,18823772|87835918|47141776|47722910|97364933|48868869,18823772|47141776|47722910|48868869|87835918|97364933,70072982|760378724|1636304095|1913916333|1977159726|2610078354|3244390646|4101920554,18823772|87835918|47141776|47722910|97364933|48868869,760378724|4101920554|1913916333|1977159726|2610078354|70072982|3244390646|1636304095,8,11442,2081,644,423,113,169,436,175,200,215,180,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
222,18823772|87835918|47141776|47722910|97364933|98826390,18823772|47141776|47722910|87835918|97364933|98826390,70072982|760378724|1636304095|1913916333|1977159726|2610078354|3244390646|4101920554,18823772|87835918|47141776|47722910|97364933|98826390,2610078354|760378724|70072982|3244390646|4101920554|1913916333|1977159726|1636304095,8,11342,2189,657,434,111,172,474,198,221,238,206,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
223,18823772|87835918|47141776|97364933|65288117|16653100,16653100|18823772|47141776|65288117|87835918|97364933,70072982|760378724|1636304095|1913916333|1948350679|1977159726|3244390646|4101920554,18823772|87835918|47141776|97364933|65288117|16653100,760378724|4101920554|1913916333|1977159726|70072982|3244390646|1948350679|1636304095,8,11413,1018,669,509,228,175,475,189,219,237,194,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
224,18823772|87835918|47141776|97364933|65288117|48868869,18823772|47141776|48868869|65288117|87835918|97364933,70072982|760378724|1636304095|1913916333|1977159726|2610078354|3244390646|4101920554,18823772|87835918|47141776|97364933|65288117|48868869,2610078354|760378724|70072982|3244390646|4101920554|1913916333|1977159726|1636304095,8,11487,2132,647,424,114,169,447,172,197,217,177,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
225,18823772|87835918|47141776|97364933|65288117|98826390,18823772|47141776|65288117|87835918|97364933|98826390,70072982|760378724|1636304095|1913916333|1977159726|2610078354|3244390646|4101920554,18823772|87835918|47141776|97364933|65288117|98826390,2610078354|760378724|70072982|3244390646|4101920554|1913916333|1977159726|1636304095,8,11388,2241,660,434,113,173,485,194,217,239,203,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
226,18823772|87835918|47141776|97364933|65288117|42143972,18823772|42143972|47141776|65288117|87835918|97364933,70072982|760378724|1636304095|1913916333|1948350679|1977159726|2610078354|3244390646,18823772|87835918|47141776|97364933|65288117|42143972,2610078354|760378724|70072982|3244390646|1948350679|1913916333|1977159726|1636304095,8,11122,2180,745,479,232,105,318,187,217,237,196,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
227,18823772|87835918|47141776|97364933|65288117|81227917,18823772|47141776|65288117|81227917|87835918|97364933,70072982|760378724|1636304095|1913916333|1948350679|1977159726|2610078354|3244390646,18823772|87835918|47141776|97364933|65288117|81227917,2610078354|760378724|70072982|3244390646|1948350679|1913916333|1977159726|1636304095,8,11297,2114,725,500,230,105,317,173,202,217,180,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
228,18823772|87835918|47141776|97364933|65288117|95335746,18823772|47141776|65288117|87835918|95335746|97364933,70072982|760378724|1636304095|1913916333|1948350679|1977159726|2610078354|3244390646,18823772|87835918|47141776|97364933|65288117|95335746,2610078354|760378724|70072982|3244390646|1948350679|1913916333|1977159726|1636304095,8,10584,2023,665,461,208,95,285,165,187,208,170,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
