番号,コスト,名前,育成技能1:(0凸),育成技能2:(0凸),育成技能3:(0凸),生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,因子1(特化),因子2(2凸),因子3(LV20),因子4(文曲)
166,7,太原雪斎,魅力修練上昇Lv.2,知力上昇Lv.1,,26756,18563,1435,1590,1107,2451,1948,1197,2256,1140,1122,密教,外交官,,文化人
167,7,松永久秀,魅力上昇Lv.2,,,29219,18978,1124,1740,1343,2485,2622,1801,1755,2801,1786,陰陽道,野心家,,
168,8,真田昌幸,知力上昇率向上Lv.3,,,27585,17192,1933,1252,1741,2135,2050,1100,1008,1201,2363,忍術,野心家,,
169,7,真田幸村,器用上昇率向上Lv.2,腕力上昇Lv.1,,28511,18590,2901,1365,1394,1345,2045,1114,1088,1130,1107,武芸,剣豪,,
170,6,遠山景任,耐久上昇Lv.1,,,24235,11312,2137,1324,2222,733,1753,664,735,878,738,鉄砲鍛冶,知将,,
171,7,浅井久政,気合修練上昇Lv.2,,,27881,17840,2205,1429,1736,1769,1757,1194,1165,1171,1243,神道,野心家,,
172,7,足利義昭,気合修練志向Lv.5,魅力上昇Lv.3,,27537,15302,1553,1512,1145,2020,1946,1156,1051,995,1063,雅楽,野心家,,
173,7,北条幻庵,魅力上昇Lv.5,生命上昇Lv.3,,24242,18048,1571,1545,1085,2311,2136,1169,1226,1119,1192,仏門,長寿,,
174,7,明智光安,気合上昇Lv.2,,,25906,28206,1488,1305,1308,1765,1935,1334,1200,1137,1378,古神道,勇将,宿将,
175,8,織田信長,生命上昇率向上Lv.3,,,27435,17496,2678,1392,1533,1492,1975,1061,1088,1507,1055,武芸,野心家,,
176,7,明智光秀(十七),知力修練上昇Lv.2,,,27584,16724,1435,1325,1107,2298,1886,2129,537,506,1995,密教,野心家,,
177,7,立花誾千代,土属性上昇率向上Lv.2,,,29049,15934,2187,1392,1366,1371,1748,1220,1033,1023,1002,武芸,女傑,,
178,8,徳川家康,耐久上昇Lv.3,,,30949,16448,1675,2048,1603,1933,1864,1617,1183,1115,1223,軍学,世渡り上手,,
179,6,森田浄曇,気合上昇Lv.1,知力上昇Lv.1,,25297,12834,1076,1385,1460,1831,1615,906,896,851,911,軍学,長寿,,忍び
180,8,百地三太夫,器用上昇Lv.3,,,31990,15649,2745,1515,2139,1667,2002,952,1337,960,1032,忍法,忍び,,
181,6,本多忠勝,生命修練志向Lv.1,腕力修練志向Lv.1,,23409,12143,1921,851,1150,922,1409,688,698,682,826,武芸,猛将,,
182,8,武田信玄,魅力上昇Lv.3,土属性上昇率向上Lv.1,,30437,16408,1696,1931,1171,1955,2213,2045,1226,1342,1192,仏門,神仏の徒,,
183,7,宇佐美定満,土属性上昇Lv.2,,,24886,15240,2602,1348,1359,2123,1968,2224,1033,1006,1082,仙道,知将,才腕,
184,7,真田幸隆,器用修練上昇Lv.5,気合上昇Lv.2,,26843,14517,2739,1149,1689,1191,1812,1413,1003,1040,1048,暗殺術,知将,,
185,8,お市(婚礼),気合修練志向Lv.3,,,30112,15849,957,1716,1512,2653,2715,1973,2713,1761,1907,仙道,内助の功,,
186,8,伊達政宗(新星),生命上昇Lv.3,生命修練上昇Lv.3,魅力修練上昇Lv.1,35236,17496,2611,1556,1547,1250,2709,976,903,1023,917,武芸,猛将,,野心家
187,8,今川義元(周年),腕力上昇Lv.5,生命上昇Lv.3,腕力上昇率向上Lv.1,34520,24328,3268,1837,2135,2527,3066,2161,2131,2564,1991,神道,明敏,野心家,
188,8,斎藤道三(巳),耐久上昇Lv.5,魅力上昇Lv.3,生命上昇Lv.1,37637,21747,2295,2249,2016,2658,2949,2474,2418,2262,2345,武士道,才腕,野心家,
189,8,雑賀孫市(陣羽織),耐久修練上昇,,,32983,15101,1892,2263,1480,1029,2129,995,979,1441,987,鎧鍛冶,飛道具使い,,
190,8,三好長慶(生殺),知力上昇率向上Lv.5,知力修練志向Lv.3,魅力上昇Lv.1,35377,24213,1768,1742,2197,2894,3016,2541,2577,2553,2444,医学,明敏,野心家,
191,8,上杉謙信(野望),生命上昇率向上Lv.5,耐久上昇率向上Lv.2,,36386,19980,2771,2214,2111,2540,2792,1610,1670,1625,1604,僧兵,鬼,,神仏の徒
192,8,織田信長(周年),生命上昇率向上Lv.5,生命上昇Lv.2,,37139,15850,2610,2229,2012,2847,2833,2032,2046,2843,2091,軍学,野心家,,
193,8,織田信長(特別),火属性上昇率向上Lv.7,,,33705,19538,2276,1959,1667,1937,2275,1167,1125,1493,1101,武士道,文化人,,
194,8,真田幸村(新星),腕力上昇Lv.5,生命上昇Lv.3,生命修練志向Lv.1,31201,17027,2812,1487,1435,1170,2534,891,1011,936,1033,武芸,猛将,,
195,8,真田昌幸(吸血),知力上昇Lv.5,風属性上昇率向上Lv.3,知力上昇率向上Lv.1,34154,19136,2179,1539,1907,2859,2516,2017,2004,2189,2863,忍術,知将,世渡り上手,
196,8,浅井長政(婚礼),腕力修練上昇Lv.3,,,35390,18009,1836,2078,1561,2058,2699,2719,1192,1077,1409,武士道,勇将,,
197,8,足利義輝(野望),生命上昇Lv.5,腕力上昇Lv.3,生命修練志向Lv.1,37357,20388,2831,2215,2016,1886,2602,2100,2081,1920,2036,武士道,根性,剣豪,
198,8,大友宗麟,腕力上昇率向上Lv.5,生命上昇Lv.3,魅力上昇Lv.1,36664,20304,3123,2228,2229,1756,3022,1834,1914,1820,2001,鉄砲鍛冶,外交官,神仏の徒,
199,8,長宗我部元親(納涼),腕力上昇Lv.5,腕力上昇率向上Lv.3,水属性上昇Lv.1,36508,19474,2976,1498,1933,1942,2394,2378,2992,2154,2272,四象,洒落者,鬼,
200,8,長尾景虎,知力上昇率向上Lv.5,生命上昇Lv.3,知力上昇Lv.1,36410,20905,2511,2236,1881,2891,3039,2608,2618,2597,2593,密教,明敏,神仏の徒,
201,8,長尾虎,腕力上昇率向上Lv.5,魅力上昇Lv.3,生命上昇Lv.1,36386,19267,3152,2185,2151,2540,2930,1882,2017,1875,1875,僧兵,根性,忍び,
202,8,徳川家康(東軍),知力修練志向Lv.5,魅力上昇率向上Lv.2,,32705,18541,1675,2130,1676,2812,2870,1397,1407,1271,1430,軍学,野心家,,世渡り上手
203,8,武田信玄(野望),知力修練上昇Lv.5,魅力上昇率向上Lv.2,,33376,16724,1549,1855,1195,2738,2842,1850,1853,1786,1808,密教,猛将,野心家,
204,8,北条氏康(獅子),耐久上昇Lv.5,知力上昇Lv.3,耐久修練志向Lv.1,37139,20186,2381,2130,2187,2900,3001,2529,2578,2419,2641,軍学,外交官,勇将,
205,8,毛利元就,知力上昇率向上Lv.5,知力上昇Lv.2,風属性上昇Lv.1,35338,17221,1082,1390,1430,2908,2400,1848,1757,1647,2963,仙道,長寿,,
206,7,おまつ(奇譚),知力上昇Lv.5,生命上昇Lv.3,火属性上昇Lv.1,31526,20930,2285,1627,2422,2878,2889,2323,2161,2803,2585,忍術,忍び,女傑,内助の功
207,7,お江,魅力上昇Lv.5,生命上昇Lv.3,魅力修練志向Lv.1,34157,20054,1056,1742,1945,2843,3070,2329,2110,2025,2046,医学,世渡り上手,内助の功,
208,7,ガラシャ(聖),知力上昇率向上Lv.5,魅力上昇率向上Lv.3,知力上昇Lv.1,34843,22477,1537,2020,1563,2903,3043,2599,2552,2785,2597,召喚術,女傑,神仏の徒,
209,7,ねね(和装),魅力上昇Lv.2,,,29521,16043,827,1477,1104,2483,2871,1412,1133,1147,1106,医学,内助の功,,
210,7,まつ,魅力上昇Lv.5,生命上昇Lv.2,,32314,14950,1670,1239,2028,2729,2870,1467,1400,1642,1668,忍術,内助の功,,
211,7,もののふ小町,魅力上昇Lv.3,生命上昇率向上Lv.1,,34160,18121,2522,1651,1449,1358,2167,1474,2491,1626,2437,武芸,根性,世渡り上手,
212,7,愛姫(特別),火属性上昇Lv.2,,,25116,15934,2663,1488,2334,1561,2002,1046,1050,1056,1135,忍法,,,
213,7,梓,器用修練志向Lv.2,,,27231,12803,2663,1239,2120,1060,2183,854,858,864,2610,忍法,女傑,,忍び
214,7,遠足娘まり,腕力上昇Lv.5,器用上昇Lv.3,腕力修練志向Lv.1,37958,21727,3381,1998,2585,2553,2932,2457,2622,2580,2611,殺陣,明敏,女傑,
215,7,加藤清正,腕力上昇Lv.5,耐久上昇Lv.3,生命上昇Lv.1,37930,21171,3034,2445,1886,2036,2366,2053,2130,1879,1996,鎧鍛冶,猛将,鬼,
216,7,帰蝶,知力上昇Lv.5,水属性上昇Lv.3,知力修練志向Lv.1,31789,20780,2250,1640,2407,2915,2796,2323,3080,2483,2585,忍術,内助の功,女傑,
217,7,宮本武蔵(涼),生命上昇率向上Lv.5,器用上昇率向上Lv.3,生命上昇Lv.1,36858,20635,2857,2196,2507,2004,2311,1593,2224,1538,2274,軍学,剣豪,鬼,
218,7,蛍(吸血),腕力上昇率向上Lv.5,生命上昇Lv.3,腕力上昇Lv.1,34598,18316,3022,2210,2303,1337,2598,1824,1904,1779,2001,鉄砲鍛冶,鬼,飛道具使い,
219,7,後藤又兵衛,生命修練志向Lv.5,耐久上昇率向上Lv.2,,37270,20134,1999,2202,1610,1018,2267,1182,1256,1129,1177,鎧鍛冶,猛将,根性,
220,7,江里口信常,生命修練上昇Lv.2,,,28859,13877,2530,1266,1323,1580,1520,1117,1049,1061,1088,殺陣,猛将,,
221,7,降神祈祷師,魅力上昇Lv.3,生命上昇率向上Lv.1,,25906,21697,2232,1174,1307,1764,1935,1333,1200,1136,1378,古神道,長寿,,
222,7,高橋紹運,気合修練志向Lv.2,,,30897,16990,1913,1703,1515,1714,1928,1050,1011,960,1431,武士道,猛将,,
223,7,黒田長政,腕力上昇Lv.5,魅力上昇Lv.3,腕力上昇率向上Lv.1,34857,17748,3103,2191,2065,2654,3003,2241,2209,2339,2197,鉄砲鍛冶,才腕,外交官,
224,7,黒猫ノア,知力上昇率向上Lv.5,土属性上昇率向上Lv.3,水属性上昇率向上Lv.1,31224,19773,2463,1556,2110,2928,2765,2842,3001,2810,2817,四象,外交官,洒落者,
225,7,佐々木小次郎(涼),腕力上昇率向上Lv.5,器用上昇Lv.3,腕力上昇Lv.1,33891,17809,3080,1405,2340,1721,2132,2005,1381,2024,1308,武芸,鬼,剣豪,
226,7,柴田勝家(風雲),腕力上昇率向上Lv.5,腕力上昇Lv.3,腕力修練志向Lv.1,36043,17496,3102,1747,1923,1385,1870,1676,1653,2186,1614,武芸,鬼,猛将,
227,7,種子島時堯,生命上昇率向上Lv.2,,,32357,14205,2221,1801,1457,1670,1770,1039,1064,1449,1100,軍学,飛道具使い,,
228,7,出雲阿国(周年),知力上昇Lv.5,生命上昇Lv.2,,31225,20810,1615,1587,1614,2795,2957,1572,1618,1651,1456,雅楽,洒落者,明敏,
229,7,出雲阿国(神将),魅力上昇Lv.5,生命上昇率向上Lv.2,,30736,16170,1443,1768,1638,2704,2938,1940,1366,1346,1933,地勢,洒落者,,
230,7,出雲阿国(野望),魅力上昇Lv.5,魅力上昇率向上Lv.5,魅力修練志向Lv.1,34421,26013,1785,1663,1717,2694,3113,2080,2259,1940,1945,雅楽,洒落者,女傑,
231,7,小松姫(航海),魅力上昇Lv.5,知力上昇Lv.2,,32849,17983,1103,1475,1276,2738,2794,1695,2829,1559,2881,仙道,内助の功,女傑,
232,7,小松姫(水練),水属性上昇Lv.2,,,26360,17496,2365,1460,1505,1358,2219,976,1360,947,1287,武芸,女傑,,
233,7,小早川隆景(羽織),知力上昇Lv.5,知力修練志向Lv.3,知力上昇率向上Lv.1,33735,17425,1178,1948,1562,2893,2666,2333,2825,2785,2330,陰陽道,知将,,明敏
234,7,晶,腕力修練志向Lv.3,腕力上昇Lv.1,,30456,15554,2347,1610,1515,1766,1726,1213,1139,1122,1172,地勢,女傑,,
235,7,松永久秀(野望),知力上昇Lv.5,知力上昇率向上Lv.3,火属性上昇率向上Lv.1,31224,20073,2463,1383,2066,2898,2008,2253,2176,2832,2272,四象,明敏,野心家,
236,7,城大工かんな,腕力上昇Lv.3,耐久上昇率向上Lv.1,,34292,13937,2521,2122,1686,1814,2496,2535,1603,2508,1585,刀鍛冶,宿将,女傑,
237,7,森長可,腕力上昇Lv.5,耐久上昇Lv.3,器用上昇率向上Lv.1,33622,19996,2968,1911,2230,1748,2709,2228,2284,2261,2215,武芸,宿将,鬼,
238,7,森蘭丸(凶禍),腕力修練上昇Lv.5,生命上昇率向上Lv.2,生命上昇Lv.1,35774,19527,2790,2088,1561,1856,2429,1496,1077,958,2152,武芸,勇将,,
239,7,真田幸村(水練),水属性上昇率向上,,,30125,17184,2544,1337,1394,1614,1957,1007,1740,1023,1002,武芸,洒落者,根性,
240,7,真田信幸(航海),生命上昇Lv.5,知力修練志向Lv.2,,36233,19878,2027,1942,1576,1920,2776,1330,2632,1205,2488,武士道,長寿,,
241,7,石田三成(西軍),知力上昇Lv.5,知力上昇率向上Lv.3,魅力上昇Lv.1,34000,20703,1383,1914,1831,2893,2997,2316,2257,2224,2296,陰陽道,根性,名臣,
242,7,仙桃院,知力上昇率向上Lv.5,知力上昇Lv.3,水属性上昇Lv.1,35859,22911,1865,2154,1937,2872,3039,2262,2954,2153,2132,密教,世渡り上手,女傑,
243,7,前田慶次(神将),生命上昇Lv.5,腕力上昇Lv.2,,33866,14980,2648,1844,1520,2314,2209,2128,2132,2132,2135,四象,洒落者,,
244,7,前田慶次(野望),腕力上昇Lv.5,魅力上昇Lv.3,魅力修練志向Lv.1,37229,23219,3141,1810,1918,2315,3136,2504,2502,2477,2612,四象,洒落者,猛将,
245,7,滝川一益(風雲),腕力上昇Lv.5,腕力上昇率向上Lv.3,器用上昇Lv.1,32518,19917,3053,1791,2528,2122,2457,2044,2015,2044,2064,忍法,才腕,忍び,
246,7,竹中半兵衛(知将),知力上昇Lv.5,気合上昇率向上Lv.2,,27094,18288,951,1757,1330,2745,2424,1921,1822,1829,2891,陰陽道,知将,才腕,明敏
247,7,島左近,腕力上昇Lv.5,腕力上昇率向上Lv.3,知力上昇Lv.1,35732,19887,2945,2097,2041,2812,2889,2460,2602,2820,2874,軍学,鬼,世渡り上手,根性
248,7,道場娘まり,生命修練志向Lv.1,,,28089,18690,2295,2043,1060,1714,2313,1167,1125,1067,1100,武士道,女傑,,
249,7,道場娘まり(和装),生命上昇Lv.2,,,35110,16310,2601,1976,1425,1817,2506,1167,1125,1067,2213,武士道,女傑,剣豪,
250,7,鍋島直茂(人狼),腕力修練上昇Lv.2,腕力上昇Lv.1,,30678,11354,2814,1501,1299,2310,1458,1049,933,1008,1055,殺陣,洒落者,,名臣
251,7,濃姫(雅楽),魅力上昇率向上Lv.2,,,30242,15608,1584,1171,984,2391,2451,1514,1460,1601,1477,雅楽,内助の功,,
252,7,濃姫(古神道),知力修練志向Lv.2,,,23833,28206,1339,1174,1399,1923,2902,1507,1320,1591,1557,古神道,内助の功,,
253,7,福島正則,耐久上昇Lv.5,腕力上昇Lv.3,腕力修練志向Lv.1,35823,20568,2966,2387,1991,1502,2317,2132,2283,2196,2266,刀鍛冶,猛将,勇将,
254,7,北条氏政(獅子),知力上昇Lv.5,魅力上昇Lv.3,知力修練志向Lv.1,30456,20482,2442,2131,2164,2833,2971,2583,2505,2535,2613,地勢,根性,世渡り上手,
255,7,本多忠勝(盛夏),腕力上昇Lv.5,生命修練上昇Lv.2,,35606,14557,3012,2097,1274,1588,2240,1087,1188,1073,1219,僧兵,剣豪,,
256,7,魔女ルシア,知力上昇Lv.5,魅力上昇Lv.3,魅力上昇率向上Lv.1,33936,28858,1800,1735,1438,2841,2902,2121,2028,1819,2370,古神道,文化人,洒落者,女傑
257,7,魔女娘まり,耐久修練志向Lv.2,耐久上昇Lv.1,,35671,18689,2295,2044,1364,1766,2313,1167,1125,1067,1101,武士道,洒落者,,
258,7,明智光秀(闇),生命上昇率向上Lv.5,知力上昇Lv.3,生命上昇Lv.1,37685,21408,3353,2258,2005,2524,2792,2196,2578,2344,2084,僧兵,鬼,洒落者,野心家
259,7,明智光秀(初期),知力上昇Lv.3,知力上昇率向上Lv.1,,27584,16724,1435,1325,1107,2297,1788,532,2147,2026,497,密教,野心家,,
260,7,立花宗茂,生命修練志向Lv.2,,,30126,15309,2610,1336,1421,1317,1747,1007,1032,1022,1213,武芸,猛将,,
261,7,立花宗茂(盛夏),気合上昇Lv.5,魅力修練上昇Lv.2,,35390,20048,2429,1721,1576,2109,2159,2509,1035,1002,1277,武士道,剣豪,,
262,7,立花誾千代(猫又),気合修練上昇Lv.2,生命上昇Lv.1,,33891,15465,2656,1515,1477,1398,2324,2514,1109,1087,1023,武芸,洒落者,,
263,6,お知恵,知力上昇Lv.1,,,24458,13275,705,1138,952,1992,1827,1823,1857,1772,1886,仙道,明敏,,
264,6,サンチョ,土属性上昇Lv.1,,,20542,10561,607,892,728,1503,1399,1035,856,717,825,召喚術,神仏の徒,,
265,6,もの知り爺,腕力上昇Lv.1,,,26548,12769,1992,1344,1242,1697,1551,1348,1427,1333,1328,僧兵,宿将,,
266,6,愛弟子ノア,土属性上昇Lv.1,,,26829,20571,1022,1093,1031,1877,1832,2352,1018,1004,1508,古神道,明敏,,
267,6,安藤守就,土属性上昇Lv.1,,,22370,14053,735,807,896,1951,1663,2271,975,967,1035,陰陽道,猛将,,
268,6,伊達成実,腕力修練上昇Lv.1,腕力上昇Lv.1,,23409,10928,2304,1092,1264,921,1408,688,844,682,682,武芸,剣豪,,
269,6,雨森弥兵衛,知力修練上昇Lv.1,,,21251,14053,735,1153,896,1651,1663,1207,1770,1026,1099,陰陽道,勇将,,
270,6,鵜殿長持,土属性上昇率向上Lv.1,,,22054,17734,982,1061,910,1551,1621,1239,911,875,1068,古神道,世渡り上手,,
271,6,遠藤直経,水属性上昇率向上Lv.1,器用上昇Lv.1,,23920,11521,1839,896,1750,1001,1454,636,1107,653,664,暗殺術,忍び,,
272,6,岡部元信,魅力修練志向Lv.1,,,27030,13339,1380,1469,1113,1253,1587,930,741,708,732,武士道,猛将,,
273,6,岡部正綱,耐久上昇Lv.1,,,24572,14671,1278,1360,1089,1253,1586,931,742,707,732,武士道,世渡り上手,,
274,6,海北綱親,風属性上昇率向上Lv.1,,,24490,12046,1607,1083,1053,1296,1349,635,681,625,1075,僧兵,知将,,
275,6,鎧鍛冶次郎,耐久上昇Lv.1,,,33801,12704,1220,1844,1238,897,2021,1034,1030,1014,1013,鎧鍛冶,根性,,
276,6,柿崎景家,腕力修練志向Lv.1,生命上昇Lv.1,,25297,12192,1795,1385,1197,1525,1615,860,1029,808,865,軍学,剣豪,,
277,6,関掃部,生命修練志向Lv.1,,,24468,11784,1926,1797,1779,1792,1565,847,713,683,721,鉄砲鍛冶,飛道具使い,,
278,6,願証寺証恵,気合上昇率向上Lv.1,魅力修練志向Lv.1,,22888,12047,1639,1083,1052,1179,1901,710,760,700,852,僧兵,名臣,,神仏の徒
279,6,鬼庭綱元,魅力上昇率向上Lv.1,知力上昇率向上Lv.1,,22065,12519,678,1117,928,2021,2053,1860,1807,1860,1807,医学,名臣,,
280,6,鬼庭左月斎,水属性上昇Lv.1,,,26815,12834,1196,1482,1140,1525,1615,860,1029,808,865,軍学,長寿,宿将,
281,6,京極高吉,知力上昇Lv.1,,,21376,12950,1024,892,914,1546,1528,789,706,678,996,雅楽,神仏の徒,,
282,6,興正寺顕尊,風属性上昇率向上Lv.1,,,23428,13415,980,1233,858,1616,1535,836,860,797,999,仏門,神仏の徒,,
283,6,光教寺顕誓,器用上昇率向上Lv.1,,,22887,13250,1607,1083,1053,1178,1214,710,760,700,853,僧兵,神仏の徒,,
284,6,高坂昌信,火属性上昇率向上Lv.1,魅力修練上昇Lv.1,,22370,14053,735,807,896,2207,2310,1874,1831,1933,1810,陰陽道,知将,,
285,6,細川晴元,気合上昇Lv.1,知力修練志向Lv.1,,22370,14053,735,1036,896,1832,1663,1349,1158,1147,1488,陰陽道,文化人,,
286,6,細川藤孝,知力上昇率向上Lv.1,知力修練上昇Lv.1,,21838,12889,719,947,889,1992,1575,1049,938,890,1178,仙道,文化人,長寿,
287,6,榊原康政,魅力上昇率向上Lv.1,生命上昇Lv.1,,24572,14671,893,1224,1210,1253,1586,931,742,707,732,武士道,勇将,,
288,6,三井遊雲軒,生命上昇Lv.1,,,35293,11421,1600,1668,1169,846,1493,868,714,679,700,刀鍛冶,飛道具使い,,
289,6,三好義賢,魅力修練志向Lv.1,腕力上昇率向上Lv.1,,23409,12142,2132,1092,1150,921,1408,688,697,825,682,武芸,文化人,,
290,6,三好長逸,器用修練志向Lv.1,,,24327,13878,1019,1303,850,1571,1418,963,979,1106,917,密教,野心家,,
291,6,山県昌景,生命修練上昇Lv.1,生命修練志向Lv.1,,28079,12834,1650,1524,1025,1525,1615,860,850,978,865,軍学,剣豪,勇将,
292,6,山中俊房,器用上昇Lv.1,腕力修練上昇Lv.1,,21238,11521,2024,896,1790,910,1454,711,725,729,899,暗殺術,忍び,,
293,6,氏家卜全,耐久修練志向Lv.1,,,24572,13339,1789,1224,1210,1804,1808,931,782,707,732,武士道,猛将,,
294,6,柴田勝家,腕力上昇Lv.1,腕力修練志向Lv.1,,23409,12142,2208,1092,976,921,1408,688,697,825,682,武芸,剣豪,,宿将
295,6,酒井忠次,知力上昇率向上Lv.1,魅力上昇Lv.1,,22065,11267,678,1117,928,2210,2307,896,949,825,765,医学,外交官,,
296,6,出浦盛清,火属性上昇Lv.1,腕力上昇Lv.1,,22356,11521,2464,896,1857,910,1454,750,764,1153,782,暗殺術,忍び,,
297,6,小松姫,気合上昇Lv.1,,,21067,12142,2304,1092,1150,1050,1817,651,660,646,1221,武芸,女傑,,明敏
298,6,色部勝長,水属性上昇Lv.1,,,23409,12142,2304,1092,919,921,1408,688,697,682,825,武芸,猛将,,
299,6,伸介,知力上昇率向上Lv.1,,,22186,13965,705,1168,758,1600,1482,1630,1339,1655,1199,召喚術,根性,,
300,6,森蘭丸,腕力上昇率向上Lv.1,腕力修練志向Lv.1,,34177,11414,2747,1856,2070,1871,2395,1312,1492,1371,1445,武芸,名臣,,
301,6,真田信幸,器用修練上昇Lv.1,魅力修練志向Lv.1,,20542,11735,607,892,1807,1503,2210,450,1347,1133,433,召喚術,長寿,名臣,
302,6,陣蔵,魅力修練志向Lv.1,,,28838,13732,1651,1607,1300,1846,1826,1812,1800,1806,1805,軍学,宿将,,
303,6,西光寺真敬,器用修練志向Lv.1,,,24328,13879,1000,1303,916,1720,1542,962,980,912,1111,密教,神仏の徒,,
304,6,滝川一益,耐久修練上昇Lv.1,器用修練志向Lv.1,,22504,11455,2133,924,1884,1040,1425,725,725,715,753,忍法,忍び,,
305,6,丹羽長秀,気合修練志向Lv.1,知力上昇Lv.1,,22065,12519,678,1060,928,1860,1572,944,825,869,807,医学,知将,,
306,6,池田勝正,耐久修練上昇Lv.1,,,24572,13339,1278,1428,1150,1253,1586,768,742,707,886,武士道,名臣,,
307,6,朝倉景紀,生命修練志向Lv.1,,,24320,12966,1564,1000,1194,1188,1549,796,753,743,974,神道,猛将,,
308,6,朝倉景鏡,風属性上昇Lv.1,,,22371,14054,736,1152,897,1350,1662,1349,1159,1148,1488,陰陽道,野心家,,
309,6,朝倉景隆,気合修練志向Lv.1,,,24479,13763,770,1207,1033,1358,1534,1021,894,894,1050,神通力,猛将,,
310,6,朝倉景連,魅力修練上昇Lv.1,,,26479,12519,678,1117,928,1307,1499,896,783,825,928,医学,猛将,,
311,6,的場源四郎,器用修練上昇Lv.1,,,31888,12216,1197,1809,1802,1794,1798,929,777,719,758,鎧鍛冶,飛道具使い,,
312,6,藤岡屋伝助,火属性上昇Lv.1,,,24745,12889,1853,1042,1552,1487,1413,1774,1721,1741,1692,四象,才腕,,
313,6,道場忍お綾,器用上昇Lv.1,,,26103,12715,1986,1109,1857,1124,1624,1481,1815,1818,1566,忍法,才腕,,
314,6,内藤昌豊,魅力修練志向Lv.1,知力上昇Lv.1,,14812,20115,1039,936,1096,669,2620,996,1182,993,963,修験道,勇将,,
315,6,馬場信春,生命修練上昇Lv.1,,,23512,12950,1699,992,731,1532,1803,789,706,678,996,雅楽,猛将,,
316,6,伴長信,器用上昇Lv.1,器用修練上昇Lv.1,,22504,10309,1642,972,1841,1040,1567,797,797,500,828,忍法,忍び,,
317,6,不破光治,知力修練志向Lv.1,,,21376,12950,1024,942,914,1688,1528,832,743,714,867,雅楽,猛将,,
318,6,片倉重長,腕力上昇Lv.1,器用上昇Lv.1,,29594,16261,2557,1392,1945,1562,2364,2029,1975,2001,1948,鉄砲鍛冶,宿将,鬼,
319,6,北条高広,耐久上昇率向上Lv.1,,,24572,14671,1278,1360,1089,1253,1586,931,742,707,732,武士道,野心家,,
320,6,北条氏規,気合修練上昇Lv.1,,,22065,12519,679,1004,929,1453,1499,897,949,826,766,医学,世渡り上手,,
321,6,北条氏照,耐久上昇率向上Lv.1,,,25297,12834,1196,1524,1140,1525,1615,860,1029,808,865,軍学,勇将,,
322,6,北条氏政,魅力上昇Lv.1,,,24572,13339,1278,1224,1210,1253,1825,768,899,707,732,武士道,知将,,
323,6,魔導士ルシア,水属性上昇Lv.1,,,22737,17734,982,954,1000,1707,1621,1025,1104,875,1068,古神道,神仏の徒,,
324,6,明智光秀,火属性上昇率向上Lv.1,,,22737,17734,982,1061,1000,1861,1621,971,864,1475,1013,古神道,野心家,,
325,6,矢沢頼綱,気合上昇率向上Lv.1,,,20521,12519,1086,1117,929,1410,1499,850,742,782,1370,医学,名臣,,
326,6,窯隠れの才蔵,火属性上昇Lv.1,,,24064,11983,1104,813,1090,1460,1449,908,798,1040,931,忍術,忍び,,
327,6,鈴木重朝,耐久修練上昇Lv.1,,,27029,13339,1150,1496,1210,1253,1745,931,742,707,732,武士道,世渡り上手,,
328,5,粟津元隈,,,,19776,11339,1478,819,924,1136,1346,760,575,560,632,神道,神仏の徒,,
329,5,伊達実元,,,,22815,11513,960,1189,1057,1024,1415,599,701,556,575,武士道,名臣,,
330,5,一宮宗是,,,,21154,15752,1168,939,847,1446,1465,903,797,772,1150,古神道,勇将,,
331,5,果心居士,,,,20274,12455,564,860,735,1325,1392,1081,844,1433,925,陰陽道,野心家,,
332,5,岩成友通,,,,22130,13035,668,1164,971,1700,1546,900,878,903,1046,修験道,野心家,,
333,5,蛍,,,,17635,8460,1165,903,921,565,1107,476,479,457,478,鉄砲鍛冶,女傑,,
334,5,原虎胤,,,,21335,10934,1406,986,914,876,1161,569,738,553,561,僧兵,鬼,,
335,5,古田織部,,,,20274,12455,507,860,735,1457,1392,1081,844,839,1579,陰陽道,文化人,,
336,5,甲山太郎次郎,,,,22124,10025,1617,692,1163,704,1276,551,558,546,678,暗殺術,忍び,,
337,5,荒木村重,,,,23840,10725,685,1078,743,1399,1332,844,710,664,671,仏門,文化人,,
338,5,高力清長,,,,21673,13109,685,1078,743,1258,1332,697,860,664,671,仏門,名臣,,
339,5,今川氏真,,,,18734,11339,1614,819,924,1136,1346,628,575,560,767,神道,文化人,,
340,5,佐久間信盛,,,,23877,12950,821,1258,982,1410,1492,899,714,683,718,軍学,猛将,,
341,5,佐々成政,,,,22815,11513,1056,1069,1057,1024,1415,599,579,556,697,武士道,勇将,,
342,5,細川忠興,,,,22815,10360,960,1307,1057,1024,1415,725,579,556,575,武士道,文化人,,
343,5,山本勘助,,,,16428,8054,1150,615,949,642,981,489,489,475,490,忍法,名臣,,
344,5,上杉景勝,,,,22815,11513,960,1307,1057,921,1415,599,579,556,697,武士道,名臣,,
345,5,新庄直頼,,,,23877,11774,1004,1258,982,1268,1492,899,714,683,718,軍学,世渡り上手,,
346,5,新発田長敦,,,,22815,11513,1056,1189,951,1024,1415,725,579,556,575,武士道,勇将,,
347,5,真田信尹,,,,21665,10403,1942,860,1028,710,1239,528,531,618,522,武芸,世渡り上手,,
